row,veto_data
40,"['1. G1 banned Nuke', '2. tokyo banned Dust2', '3. tokyo banned Mirage', '4. G1 banned Vertigo', '5. G1 banned Anubis', '6. tokyo banned Inferno', '7. Ancient picked by default']"
136,"['1. Eniman Has Kit In Bold banned Vertigo', '2. tokyo banned Mirage', '3. tokyo banned Nuke', '4. Eniman Has Kit In Bold banned Dust2', '5. Eniman Has Kit In Bold banned Inferno', '6. tokyo banned Anubis', '7. Ancient picked by default']"
263,"['1. Team Instinct banned Nuke', '2. tokyo banned Dust2', '3. tokyo banned Mirage', '4. Team Instinct banned Ancient', '5. Team Instinct banned Vertigo', '6. tokyo banned Inferno', '7. Anubis picked by default']"
401,"['1. tokyo banned Dust2', '2. Mostly Garbage banned Vertigo', '3. Mostly Garbage banned Ancient', '4. tokyo banned Mirage', '5. tokyo banned Nuke', '6. Mostly Garbage banned Inferno', '7. Anubis picked by default']"
589,"['1. tokyo banned Mirage', '2. Priority Ice banned Vertigo', '3. Priority Ice banned Inferno', '4. tokyo banned Dust2', '5. tokyo banned Anubis', '6. Priority Ice banned Ancient', '7. Nuke picked by default']"
743,"['1. Gruv Co banned Anubis', '2. tokyo banned Dust2', '3. tokyo banned Mirage', '4. Gruv Co banned Nuke', '5. Gruv Co banned Inferno', '6. tokyo banned Vertigo', '7. Ancient picked by default']"
908,"['1. tokyo banned Dust2', '2. BOOMER TUMOR banned Vertigo', '3. Anubis picked by tokyo', '4. Inferno picked by BOOMER TUMOR', '5. tokyo banned Mirage', '6. BOOMER TUMOR banned Nuke', '7. Ancient picked by default']"
1065,[]
1172,"['1. tokyo banned Anubis', '2. O Block Esports banned Ancient', '3. Vertigo picked by tokyo', '4. Nuke picked by O Block Esports', '5. tokyo banned Inferno', '6. O Block Esports banned Mirage', '7. Dust2 picked by default']"
1300,[]
1465,"['1. 7 Heaven banned Ancient', '2. tokyo banned Nuke', '3. tokyo banned Inferno', '4. 7 Heaven banned Overpass', '5. 7 Heaven banned Anubis', '6. tokyo banned Mirage', '7. Vertigo picked by default']"
1774,"['1. Stunted and Old banned Mirage', '2. tokyo banned Inferno', '3. tokyo banned Anubis', '4. Stunted and Old banned Nuke', '5. Stunted and Old banned Overpass', '6. tokyo banned Ancient', '7. Vertigo picked by default']"
2028,"['1. Throat Goats banned Nuke', '2. TOKYO banned Mirage', '3. TOKYO banned Inferno', '4. Throat Goats banned Anubis', '5. Throat Goats banned Ancient', '6. TOKYO banned Overpass', '7. Vertigo picked by default']"
2247,"['1. the gu krew banned Ancient', '2. TOKYO banned Mirage', '3. TOKYO banned Inferno', '4. the gu krew banned Anubis', '5. the gu krew banned Vertigo', '6. TOKYO banned Nuke', '7. Overpass picked by default']"
2498,"['1. BLNK banned Ancient', '2. TOKYO banned Mirage', '3. TOKYO banned Anubis', '4. BLNK banned Nuke', '5. BLNK banned Vertigo', '6. TOKYO banned Inferno', '7. Overpass picked by default']"
2808,"['1. TOKYO banned Nuke', '2. Grandpa Berets banned Mirage', '3. Grandpa Berets banned Overpass', '4. TOKYO banned Inferno', '5. TOKYO banned Anubis', '6. Grandpa Berets banned Vertigo', '7. Ancient picked by default']"
3085,"['1. Eniman Has Kit In Bold banned Vertigo', '2. TOKYO banned Inferno', '3. TOKYO banned Overpass', '4. Eniman Has Kit In Bold banned Mirage', '5. Eniman Has Kit In Bold banned Ancient', '6. TOKYO banned Nuke', '7. Anubis picked by default']"
3309,"['1. TOKYO banned Inferno', '2. Scrimless banned Ancient', '3. Scrimless banned Mirage', '4. TOKYO banned Overpass', '5. TOKYO banned Nuke', '6. Scrimless banned Vertigo', '7. Anubis picked by default']"
3556,"['1. TOKYO banned Overpass', '2. PodStolom Gmng banned Vertigo', '3. PodStolom Gmng banned Inferno', '4. TOKYO banned Anubis', '5. TOKYO banned Ancient', '6. PodStolom Gmng banned Nuke', '7. Mirage picked by default']"
3853,"['1. 500KGCLUB banned Nuke', '2. TOKYO banned Mirage', '3. TOKYO banned Overpass', '4. 500KGCLUB banned Inferno', '5. 500KGCLUB banned Vertigo', '6. TOKYO banned Anubis', '7. Ancient picked by default']"
4112,"['1. Zynthusiasts banned Nuke', '2. TOKYO banned Overpass', '3. TOKYO banned Mirage', '4. Zynthusiasts banned Inferno', '5. Zynthusiasts banned Vertigo', '6. TOKYO banned Anubis', '7. Ancient picked by default']"
4362,"['1. NOCTIS BELLATOR banned Anubis', '2. TOKYO banned Overpass', '3. TOKYO banned Nuke', '4. NOCTIS BELLATOR banned Inferno', '5. NOCTIS BELLATOR banned Vertigo', '6. TOKYO banned Mirage', '7. Ancient picked by default']"
4643,"['1. Bunch o Bots banned Mirage', '2. F5 Esports banned Inferno', '3. Anubis picked by Bunch o Bots', '4. Overpass picked by F5 Esports', '5. Bunch o Bots banned Vertigo', '6. F5 Esports banned Nuke', '7. Ancient picked by default']"
4921,"['1. SistersOnSalary banned Anubis', '2. F5 Esports banned Inferno', '3. Vertigo picked by SistersOnSalary', '4. Ancient picked by F5 Esports', '5. SistersOnSalary banned Nuke', '6. F5 Esports banned Mirage', '7. Overpass picked by default']"
5213,"['1. gr4ndpa go0nz banned Ancient', '2. F5 Esports banned Inferno', '3. Anubis picked by gr4ndpa go0nz', '4. Nuke picked by F5 Esports', '5. gr4ndpa go0nz banned Vertigo', '6. F5 Esports banned Mirage', '7. Overpass picked by default']"
5579,"['1. Innovate banned Nuke', '2. F5 Esports banned Inferno', '3. F5 Esports banned Overpass', '4. Innovate banned Vertigo', '5. Innovate banned Mirage', '6. F5 Esports banned Anubis', '7. Ancient picked by default']"
5837,"['1. Eniman Has Kit In Bold banned Mirage', '2. F5 Esports banned Inferno', '3. F5 Esports banned Anubis', '4. Eniman Has Kit In Bold banned Vertigo', '5. Eniman Has Kit In Bold banned Nuke', '6. F5 Esports banned Overpass', '7. Ancient picked by default']"
6107,"['1. F5 Esports banned Vertigo', '2. OsamaBinFraggin banned Nuke', '3. OsamaBinFraggin banned Inferno', '4. F5 Esports banned Mirage', '5. F5 Esports banned Ancient', '6. OsamaBinFraggin banned Overpass', '7. Anubis picked by default']"
6372,"['1. Bunch o Bots banned Ancient', '2. F5 Esports banned Overpass', '3. F5 Esports banned Inferno', '4. Bunch o Bots banned Nuke', '5. Bunch o Bots banned Anubis', '6. F5 Esports banned Vertigo', '7. Mirage picked by default']"
6673,"['1. F5 Esports banned Mirage', '2. Not Even Danish banned Anubis', '3. Not Even Danish banned Inferno', '4. F5 Esports banned Overpass', '5. F5 Esports banned Vertigo', '6. Not Even Danish banned Ancient', '7. Nuke picked by default']"
6981,"['1. F5 Esports banned Vertigo', '2. DingTone banned Anubis', '3. DingTone banned Nuke', '4. F5 Esports banned Inferno', '5. F5 Esports banned Mirage', '6. DingTone banned Overpass', '7. Ancient picked by default']"
7272,"['1. F5 Esports banned Mirage', '2. EloThrowers banned Anubis', '3. EloThrowers banned Inferno', '4. F5 Esports banned Vertigo', '5. F5 Esports banned Ancient', '6. EloThrowers banned Nuke', '7. Overpass picked by default']"
7577,"['1. Old mofos banned Vertigo', '2. F5 Esports banned Ancient', '3. F5 Esports banned Mirage', '4. Old mofos banned Inferno', '5. Old mofos banned Nuke', '6. F5 Esports banned Anubis', '7. Overpass picked by default']"
7927,"['1. AWPNT banned Anubis', '2. F5 Esports banned Inferno', '3. F5 Esports banned Mirage', '4. AWPNT banned Nuke', '5. AWPNT banned Vertigo', '6. F5 Esports banned Overpass', '7. Ancient picked by default']"
8309,"['1. Valhalla banned Anubis', '2. F5 Esports banned Inferno', '3. F5 Esports banned Mirage', '4. Valhalla banned Nuke', '5. Valhalla banned Ancient', '6. F5 Esports banned Vertigo', '7. Overpass picked by default']"
8610,"['1. Priority banned Mirage', '2. F5 Esports banned Vertigo', '3. F5 Esports banned Inferno', '4. Priority banned Nuke', '5. Priority banned Overpass', '6. F5 Esports banned Ancient', '7. Anubis picked by default']"
9049,"['1. puggin4fun banned Anubis', '2. F5 Esports banned Inferno', '3. F5 Esports banned Vertigo', '4. puggin4fun banned Ancient', '5. puggin4fun banned Nuke', '6. F5 Esports banned Mirage', '7. Overpass picked by default']"
9443,"['1. Sickening banned Mirage', '2. F5 Esports banned Vertigo', '3. F5 Esports banned Inferno', '4. Sickening banned Ancient', '5. Sickening banned Nuke', '6. F5 Esports banned Overpass', '7. Anubis picked by default']"
9809,"['1. F5 Esports banned Vertigo', '2. Inward banned Inferno', '3. Inward banned Ancient', '4. F5 Esports banned Anubis', '5. F5 Esports banned Mirage', '6. Inward banned Overpass', '7. Nuke picked by default']"
10147,"['1. B00sted Bums banned Mirage', '2. F5 Esports banned Vertigo', '3. F5 Esports banned Inferno', '4. B00sted Bums banned Nuke', '5. B00sted Bums banned Ancient', '6. F5 Esports banned Overpass', '7. Anubis picked by default']"
10463,"['1. Tsunami Sirens banned Nuke', '2. F5 Esports banned Vertigo', '3. F5 Esports banned Inferno', '4. Tsunami Sirens banned Mirage', '5. Tsunami Sirens banned Overpass', '6. F5 Esports banned Anubis', '7. Ancient picked by default']"
10784,"['1. Jaguar banned Anubis', '2. F5 Esports banned Inferno', '3. Mirage picked by Jaguar', '4. Nuke picked by F5 Esports', '5. Jaguar banned Vertigo', '6. F5 Esports banned Ancient', '7. Overpass picked by default']"
11122,"['1. Straight Gas banned Mirage', '2. F5 Esports banned Inferno', '3. Anubis picked by Straight Gas', '4. Nuke picked by F5 Esports', '5. Straight Gas banned Ancient', '6. F5 Esports banned Vertigo', '7. Overpass picked by default']"
11489,"['1. Last Dance banned Ancient', '2. F5 Esports banned Inferno', '3. Anubis picked by Last Dance', '4. Overpass picked by F5 Esports', '5. Last Dance banned Mirage', '6. F5 Esports banned Vertigo', '7. Nuke picked by default']"
11845,"['1. Jons AU banned Vertigo', '2. F5 Esports banned Inferno', '3. Ancient picked by Jons AU', '4. Mirage picked by F5 Esports', '5. Jons AU banned Anubis', '6. F5 Esports banned Nuke', '7. Overpass picked by default']"
12185,"['1. huge sweaty banned Overpass', '2. F5 Esports banned Vertigo', '3. F5 Esports banned Ancient', '4. huge sweaty banned Inferno', '5. huge sweaty banned Nuke', '6. F5 Esports banned Anubis', '7. Mirage picked by default']"
12533,"['1. Iglesias banned Nuke', '2. F5 Esports banned Vertigo', '3. F5 Esports banned Mirage', '4. Iglesias banned Inferno', '5. Iglesias banned Anubis', '6. F5 Esports banned Ancient', '7. Overpass picked by default']"
